iter	Passed	Remaining
0	163	163454
1	164	82233
2	165	55091
3	166	41508
4	167	33365
5	168	27929
6	169	24046
7	170	21130
8	171	18861
9	172	17046
10	173	15566
11	174	14331
12	174	13283
13	175	12389
14	176	11611
15	177	10925
16	178	10317
17	179	9775
18	179	9287
19	180	8845
20	181	8446
21	181	8080
22	182	7745
23	182	7439
24	183	7158
25	184	6896
26	184	6650
27	185	6422
28	185	6213
29	186	6015
30	186	5829
31	186	5654
32	187	5490
33	187	5337
34	188	5192
35	188	5055
36	189	4925
37	189	4802
38	190	4684
39	190	4574
40	191	4468
41	191	4368
42	192	4275
43	192	4183
44	192	4094
45	193	4009
46	193	3927
47	194	3853
48	194	3779
49	195	3708
50	195	3638
51	195	3572
52	196	3508
53	196	3445
54	197	3389
55	197	3331
56	198	3276
57	198	3222
58	198	3171
59	199	3121
60	199	3073
61	200	3028
62	200	2982
63	200	2938
64	201	2896
65	201	2854
66	202	2814
67	202	2772
68	202	2734
69	203	2697
70	203	2661
71	203	2628
72	204	2595
73	204	2562
74	205	2530
75	205	2499
76	205	2468
77	206	2438
78	206	2409
79	207	2381
80	207	2353
81	207	2326
82	208	2300
83	208	2275
84	208	2248
85	209	2224
86	209	2198
87	209	2175
88	210	2154
89	210	2132
90	211	2110
91	211	2089
92	212	2067
93	212	2047
94	212	2027
95	213	2007
96	213	1988
97	214	1969
98	214	1951
99	215	1935
100	215	1917
101	215	1898
102	216	1881
103	216	1864
104	216	1848
105	217	1832
106	217	1817
107	218	1801
108	218	1786
109	218	1771
110	219	1756
111	219	1741
112	220	1726
113	220	1713
114	220	1699
115	221	1686
116	221	1672
117	222	1660
118	222	1646
119	222	1633
120	223	1621
121	223	1609
122	223	1595
123	224	1584
124	224	1573
125	225	1561
126	225	1550
127	225	1538
128	226	1527
129	226	1516
130	227	1505
131	227	1496
132	228	1486
133	228	1475
134	228	1465
135	229	1455
136	229	1446
137	229	1436
138	230	1426
139	230	1417
140	231	1408
141	231	1399
142	231	1389
143	232	1381
144	232	1373
145	233	1364
146	233	1355
147	234	1347
148	234	1339
149	235	1331
150	235	1323
151	235	1315
152	236	1307
153	236	1299
154	236	1291
155	237	1284
156	237	1276
157	238	1269
158	238	1262
159	239	1255
160	239	1249
161	240	1242
162	240	1234
163	241	1229
164	241	1222
165	241	1215
166	242	1208
167	242	1202
168	243	1196
169	243	1190
170	244	1183
171	244	1177
172	244	1171
173	245	1164
174	245	1158
175	246	1152
176	246	1146
177	247	1140
178	247	1134
179	247	1129
180	248	1122
181	248	1116
182	248	1110
183	249	1105
184	249	1099
185	249	1093
186	250	1088
187	250	1082
188	251	1077
189	251	1073
190	252	1067
191	252	1062
192	253	1057
193	253	1053
194	253	1048
195	254	1043
196	254	1038
197	255	1033
198	255	1028
199	256	1025
200	256	1020
201	257	1015
202	257	1010
203	257	1005
204	258	1001
205	258	997
206	259	992
207	259	989
208	260	984
209	260	980
210	260	975
211	261	971
212	261	966
213	261	962
214	262	957
215	262	953
216	263	949
217	263	945
218	263	941
219	264	937
220	264	933
221	265	929
222	265	925
223	265	920
224	266	916
225	266	913
226	267	910
227	267	906
228	268	903
229	268	899
230	269	896
231	269	892
232	270	889
233	270	885
234	270	881
235	271	878
236	271	875
237	272	871
238	272	868
239	273	865
240	273	862
241	274	859
242	274	855
243	275	852
244	275	849
245	276	846
246	276	843
247	276	839
248	277	836
249	277	833
250	278	830
251	278	827
252	279	824
253	279	821
254	280	818
255	280	815
256	281	812
257	281	809
258	281	806
259	282	803
260	282	800
261	283	797
262	283	794
263	283	791
264	284	788
265	284	786
266	285	783
267	285	780
268	286	777
269	286	774
270	287	772
271	287	769
272	288	767
273	288	764
274	288	761
275	289	759
276	289	756
277	290	754
278	290	751
279	291	749
280	291	746
281	292	744
282	292	741
283	292	738
284	293	736
285	293	733
286	294	731
287	294	728
288	295	726
289	295	723
290	296	721
291	296	718
292	296	716
293	297	713
294	297	711
295	298	709
296	298	707
297	299	704
298	299	702
299	300	700
300	300	698
301	301	696
302	301	693
303	302	691
304	302	689
305	303	687
306	303	685
307	303	682
308	304	680
309	304	678
310	305	676
311	306	674
312	306	672
313	306	670
314	307	668
315	307	666
316	308	664
317	308	662
318	309	660
319	309	658
320	310	656
321	310	654
322	311	652
323	312	651
324	312	649
325	313	647
326	313	645
327	314	643
328	314	641
329	315	639
330	315	638
331	316	635
332	316	633
333	316	631
334	317	630
335	317	628
336	318	626
337	318	624
338	319	622
339	320	621
340	320	619
341	320	617
342	321	615
343	321	613
344	322	611
345	322	609
346	323	607
347	323	606
348	324	604
349	324	602
350	324	600
351	325	599
352	325	597
353	326	595
354	326	593
355	327	592
356	327	590
357	328	588
358	328	586
359	329	585
360	329	583
361	330	581
362	330	579
363	330	578
364	331	576
365	331	575
366	332	573
367	332	571
368	333	569
369	333	568
370	334	566
371	334	565
372	335	563
373	335	562
374	336	560
375	336	558
376	337	557
377	337	555
378	338	554
379	338	552
380	339	550
381	339	549
382	340	547
383	340	546
384	341	544
385	341	543
386	341	541
387	342	540
388	342	538
389	343	536
390	343	535
391	344	533
392	344	532
393	345	530
394	345	529
395	346	527
396	346	526
397	346	524
398	347	523
399	347	521
400	348	520
401	348	518
402	349	517
403	349	515
404	350	514
405	350	512
406	350	511
407	351	509
408	351	508
409	352	506
410	352	505
411	353	504
412	353	502
413	354	501
414	354	499
415	355	498
416	355	497
417	356	495
418	356	494
419	357	493
420	357	491
421	358	490
422	358	489
423	358	487
424	359	486
425	359	485
426	360	483
427	360	482
428	361	481
429	361	479
430	362	478
431	362	476
432	363	475
433	363	474
434	364	472
435	364	471
436	365	470
437	365	468
438	365	467
439	366	466
440	366	465
441	367	463
442	367	462
443	368	461
444	368	460
445	369	458
446	369	457
447	370	456
448	370	455
449	371	453
450	371	452
451	372	451
452	372	450
453	373	449
454	373	447
455	374	446
456	374	445
457	375	444
458	375	442
459	376	441
460	376	440
461	377	439
462	377	438
463	378	436
464	378	435
465	379	434
466	379	433
467	380	432
468	380	430
469	381	429
470	381	428
471	382	427
472	382	426
473	382	424
474	383	423
475	383	422
476	384	421
477	384	420
478	385	419
479	385	417
480	386	416
481	386	415
482	387	414
483	387	413
484	388	412
485	388	411
